Time (msec),Voltage (V)
0.0,3.75
100.0,3.45
200.0,3.14
300.0,2.83
400.0,2.51
500.0,2.17
600.0,1.76
700.0,1.37
800.0,1.06
900.0,0.95
1000.0,1.16
1100.0,1.61
1200.0,2.14
1300.0,2.62
1400.0,2.98
1500.0,3.27
1600.0,3.53
1700.0,3.77
1800.0,4.05
1900.0,4.23
2000.0,4.27
2100.0,4.2
2200.0,4.05
2300.0,3.74
2400.0,3.37
2500.0,3.01
2600.0,2.72
2700.0,2.71
2800.0,2.71
2900.0,2.68
3000.0,2.46
3100.0,2.17
3200.0,1.76
3300.0,1.31
3400.0,0.79
3500.0,0.27
3600.0,0.0
3700.0,0.0
3800.0,0.0
3900.0,0.0
4000.0,0.0
4100.0,0.47
4200.0,1.09
4300.0,1.64
4400.0,2.03
4500.0,1.97
4600.0,1.97
4700.0,1.98
4800.0,2.18
4900.0,2.66
5000.0,3.17
5100.0,3.66
5200.0,4.2
5300.0,4.62
5400.0,4.99
5500.0,5.0
5600.0,5.0
5700.0,5.0
5800.0,5.0
5900.0,4.99
6000.0,4.54
6100.0,4.04
6200.0,3.48
6300.0,2.97
6400.0,2.63
6500.0,2.28
6600.0,1.87
6700.0,1.54
6800.0,1.32
6900.0,1.24
7000.0,1.34
7100.0,1.64
7200.0,2.09
7300.0,2.59
7400.0,2.94
7500.0,3.17
7600.0,3.44
7700.0,3.75
7800.0,4.13
7900.0,4.47
8000.0,4.75
8100.0,5.0
8200.0,5.0
8300.0,5.0
8400.0,5.0
8500.0,5.0
8600.0,4.84
8700.0,4.37
8800.0,3.87
8900.0,3.33
9000.0,3.02
9100.0,3.01
9200.0,3.01
9300.0,3.02
9400.0,2.99
9500.0,2.82
9600.0,2.51
9700.0,2.11
9800.0,1.69
9900.0,1.26
10000.0,0.81
